Date,Open,High,Low,Close,Adj Close,Volume
2005-08-05,16.795000,16.825001,16.715000,16.725000,12.372741,734866
2005-08-08,16.674999,16.805000,16.605000,16.674999,12.335752,355246
2005-08-09,16.625000,16.700001,16.575001,16.625000,12.298764,444138
2005-08-10,16.719999,16.775000,16.405001,16.650000,12.317259,683402
2005-08-11,16.635000,16.639999,16.200001,16.264999,12.032445,1037918
2005-08-12,16.240000,16.250000,15.855000,15.980000,11.821609,2570792
2005-08-15,15.985000,16.325001,15.885000,16.250000,12.021349,878614
2005-08-16,16.325001,16.344999,16.000000,16.174999,11.965864,569786
2005-08-17,16.025000,16.205000,16.000000,16.139999,11.939972,779434
2005-08-18,16.059999,16.139999,15.525000,15.910000,11.769825,962144
2005-08-19,15.800000,15.875000,15.075000,15.300000,11.318562,1773838
2005-08-22,15.300000,15.750000,15.225000,15.740000,11.644063,1030568
2005-08-23,15.750000,15.750000,15.245000,15.400000,11.392539,1169336
2005-08-24,15.450000,15.470000,15.105000,15.250000,11.281574,1116978
2005-08-25,15.050000,15.200000,14.800000,15.075000,11.152112,1712520
2005-08-26,15.050000,15.405000,15.045000,15.360000,11.362947,1057094
2005-08-29,15.260000,15.260000,14.905000,15.125000,11.189102,856284
2005-08-30,15.100000,15.765000,15.100000,15.705000,11.618171,1859272
2005-08-31,15.990000,16.799999,15.825000,16.799999,12.428225,3811442
2005-09-01,16.850000,17.320000,16.750000,17.115000,12.661251,3012484
2005-09-02,17.150000,17.205000,16.900000,17.040001,12.605771,1226746
2005-09-05,17.049999,17.070000,16.549999,16.969999,12.553987,1288484
2005-09-06,17.000000,17.985001,16.975000,17.985001,13.304860,4840360
2005-09-07,18.000000,18.000000,17.725000,18.000000,13.315954,2322150
2005-09-08,18.059999,18.299999,18.004999,18.275000,13.519392,2321064
2005-09-09,18.250000,18.600000,18.139999,18.400000,13.611864,1886202
2005-09-12,18.575001,18.594999,18.125000,18.360001,13.582276,1487930
